text,label
certainly canxexxt expect gods glad that happened well glad circumstancxexxa,-1
glad that raised guilt trips sure hell aware that makes have drop anxexxa,1
visiting good thing chucking into campaign video backdrop without context absolutxexxa,-1
bglad therexexxs more accessible crisis line resource folks need glad that police monitor ixexxa,1
ixexxm glad live here,-1
glad pain makes happy kazuhaless xfxfxxa,-1
clear never blue attitude pitch looked like raheem doxexxa,-1
balso athletes glad apart your team part what want,-1
really cheers good service glad knew what wanted mary,-1
glad though,-1
love darling glad caught this rare visit twitter though glad news buxexxa,-1
glad again,-1
shot work forced covid recovered easily well before shot ixexxm nxexxa,-1
sunday morning still nowhere sight will show like last wedxexxa,-1
glad like tweets actually realise dangerous situation nclearly,-1
dont provide compelling empirical evidence that most women were forced labour markets whxexxa,1
byou dont provide compelling empirical evidence that most women were forced labour markets xexxa,1
glad that continuing media coverage says about view middle east compared eastern europe,-1
said they chose whether itxexxs coke heroin most these drugs imported from mexicoxexxa,1
visiting good thing chucking into campaign video backdrop without context absoxexxa,-1
gonna reach yesterday make sure everything good probably good thing gladxexxa,-1
kinda glad also same time glad have gold fish brain,-1
friends have xbox that playstation much better they gxexxa,-1
thought this joke first realise glad youve discovered this music enjoy,-1
hahaha zoomed that slit couldnt tell being hopeful axexxa,-1
good morning very happy nngizmoxexxs been night protecting against hedgehogs what nnglad haxexxa,-1
fingers crossed does probably glad yours returned,-1
oldest todaynnwere glad family even times glad family,-1
well thanks that goal never really know youve succeeded glad hear youre liking,-1
wont presume upon intentions sure there people whom those choices make perfect senxexxa,-1
dont have tell that glad hear that sorryxfxfxx,-1
sketch final,0
glad know that please dont dissuade great things about books yoxexxa,-1
well ixexxm glad biden area,-1
ixexxm glad have some testosterone around again,-1
donxexxt even have xfxfxxa ixexxve been fucking lonely glad glad shexexxs sick arenxexxt axexxa,-1
bshexexxs apologizing absolutely glad theyxexxre still together guess hexexxs,-1
that name very misleadingnthen glad havent,-1
readnbut glad,-1
byou might fool others into believing youxexxre something when reality youxexxre glad figured unxexxa,0
glad your support,-1
rule glad that this made into story glad short storynthe fact that there arexexxa,-1
very good characters brawler glad clear this,-1
